sourceId,plannedAction,title,slug,path,parentSourceId,parentTitle,hierarchyDepth,plainTextWordCount,sourceModified,sourceUrl
11,create-page-draft-after-approval,Guide to Individual Therapy | What to Expect,guide-to-individual-therapy,/articles/guide-to-individual-therapy/,9,Mental Health Articles from Louisville Mental Health Group,1,534,2026-06-29T18:21:06,http://100.70.222.25:8092/articles/guide-to-individual-therapy/
12,create-page-draft-after-approval,How to Talk to Someone About Therapy,how-to-talk-to-your-loved-ones-about-going-to-therapy,/articles/how-to-talk-to-your-loved-ones-about-going-to-therapy/,9,Mental Health Articles from Louisville Mental Health Group,1,622,2026-06-29T18:21:06,http://100.70.222.25:8092/articles/how-to-talk-to-your-loved-ones-about-going-to-therapy/
13,create-page-draft-after-approval,When to Seek Therapy | 5 Signs Support May Help,top-5-signs-its-time-to-seek-therapy,/articles/top-5-signs-its-time-to-seek-therapy/,9,Mental Health Articles from Louisville Mental Health Group,1,551,2026-06-29T18:21:07,http://100.70.222.25:8092/articles/top-5-signs-its-time-to-seek-therapy/
14,create-page-draft-after-approval,What to Expect When Starting Therapy,what-to-expect-when-starting-therapy,/articles/what-to-expect-when-starting-therapy/,9,Mental Health Articles from Louisville Mental Health Group,1,368,2026-06-29T18:21:07,http://100.70.222.25:8092/articles/what-to-expect-when-starting-therapy/
33,create-page-draft-after-approval,About Louisville Mental Health Group | Therapy and Support,about-lmhg,/faq/about-lmhg/,32,"Mental Health Services FAQ in Louisville, KY",1,180,2026-06-29T18:21:08,http://100.70.222.25:8092/faq/about-lmhg/
34,create-page-draft-after-approval,"Therapy Cost in Louisville, KY",cost,/faq/cost/,32,"Mental Health Services FAQ in Louisville, KY",1,171,2026-06-29T18:21:08,http://100.70.222.25:8092/faq/cost/
35,create-page-draft-after-approval,Louisville Mental Health Group Approach,our-approach,/faq/our-approach/,32,"Mental Health Services FAQ in Louisville, KY",1,175,2026-06-29T18:21:08,http://100.70.222.25:8092/faq/our-approach/
41,create-page-draft-after-approval,"Community-Based Mental Health Care in Louisville, KY",community,/locations/community/,40,"Mental Health Services Near Louisville, KY",1,239,2026-06-29T18:21:09,http://100.70.222.25:8092/locations/community/
42,create-page-draft-after-approval,"In-Home Mental Health Services in Louisville, KY",in-home,/locations/in-home/,40,"Mental Health Services Near Louisville, KY",1,222,2026-06-29T18:21:09,http://100.70.222.25:8092/locations/in-home/
43,create-page-draft-after-approval,"In-Person Counseling in Louisville, KY",in-person,/locations/in-person/,40,"Mental Health Services Near Louisville, KY",1,202,2026-06-29T18:21:09,http://100.70.222.25:8092/locations/in-person/
44,create-page-draft-after-approval,Online Therapy in Kentucky,online,/locations/online/,40,"Mental Health Services Near Louisville, KY",1,196,2026-06-29T18:21:09,http://100.70.222.25:8092/locations/online/
45,create-page-draft-after-approval,"School-Based Mental Health Support in Louisville, KY",school,/locations/school/,40,"Mental Health Services Near Louisville, KY",1,216,2026-06-29T18:21:09,http://100.70.222.25:8092/locations/school/
